                2,   124,     1,     0,
                2,   125,     1,     0,
                2,   122,     1,     0,
                2,   121,     1,     0,
                2,    11,     1,     0,
                2,   144,   112,    10,
                2,   144,   112,  2600,
                2,    11,   112,    10,
                2,    11,   112,  2600,
                2,    65,     1,     0,
                2,   212,     8,     0,
                2,   211,     8,     0,
                2,   211,     1,     0,
                2,   204,     1,     0,
                2,    71,   234,     0,
                2,     1,   233,     0,
                2,     1,   232,     0,
                2,    11,   233,     0,
                2,    71,   224,     0,
                2,     1,   223,     0,
                2,     1,   222,     0,
                2,    11,   223,     0,
                2,    71,   214,     0,
                2,     1,   213,     0,
                2,     1,   212,     0,
                2,    11,   213,     0,
                2,    71,   200,     0,
                2,    71,   211,     0,
                2,   205,     1,     0,
                2,   212,     1,     0,
                2,   200,     1,     0,
                2,   201,     1,     0,
                2,   204,     8,     0,
                2,   166,     1,     0,
                2,   167,     1,     0,
                2,   168,     1,     0,
                2,   169,     1,     0,
                2,   162,     8,     0,
                2,   160,     8,     0,
                2,   163,     1,     0,
                2,   160,     1,     0,
                2,   161,     1,     0,
                2,   162,     1,     0,
                2,    84,     1,     0,
                2,    59,     1,     0,
                2,   214,     1,     0,
                2,   155,     1,     0,
                2,    81,     1,     0,
                2,    91,     1,     0,
                2,    33,   105,    10,
                2,    34,   105,    10,
                2,    11,   105,     2,
                2,    51,   105,     2,
                2,     1,     1,     0,
                2,    15,   105,     2,
                2,    16,   105,     2,
                2,   204,   105,     2,
                2,   205,   105,     2,
                2,    90,     1,     0,
                2,   145,     1,     0,
                2,   146,   200,     0,
                2,   147,     1,     0,
                2,   148,     1,     0,
                2,   221,     1,     0,
                2,    54,   200,     0,
                2,    71,   244,     0,
                2,     1,   243,     0,
                2,     1,   242,     0,
                2,    92,     1,     0,
                2,   144,   112, 10340,
                2,   144,   112, 25800,
                2,    11,   112, 10340,
                2,    11,   112, 25800,
                2,   160,   112,    10,
                2,   160,   112,  2600,
                2,   160,   112, 10340,
                2,   160,   112, 25800,
                2,    66,     1,     0,
                2,   223,     1,     0,
                2,    83,     1,     0,
                2,    87,     1,     0,
                2,   225,     1,     0,
                2,   224,     1,     0,
                2,   222,     1,     0,
                2,   253,     1,     0,
                2,     7,     1,     0,
                2,   140,     1,     0,
                2,   208,     1,     0,
                2,   179,     1,     0,
                2,   145,     1,     0,
                2,   205,     1,     0,
                2,   212,     1,     0,
                2,   211,     1,     0,
                2,   204,     1,     0,
                2,   122,     1,     0,
                2,   121,     1,     0,
                2,   155,     1,     0,
                2,   235,     1,     0,
                2,    11,   109,     1,
                2,    51,   109,     1,
                2,    33,   109,     1,
                2,    34,   109,     1,
                2,     7,   109,     1,
                2,   199,     1,     0,
                2,   200,     1,     0,
                2,   210,     1,     0,
                2,   198,     1,     0,
                2,   238,     1,     0,
                2,    86,   112,   200,
                2,   229,     1,     0,
                2,   219,     1,     0,
                2,   220,     1,     0,
                2,   191,     1,     0,
                2,   194,     1,     0,
